id,name
184,J 26
88,J-04
90,J-05
112,J-10
121,J-13
191,J-27
172,J-28
1,J-32
180,J-34
182,J-35
186,J-37
189,J-38
195,J-39
201,J-42
5,J-47
7,J-48
9,J-49
13,J-50
15,J-51
31,J-58
48,J-64
54,J-66
60,J-69
63,J-70
82,J02
83,J03
94,J06
99,J07
102,J08
105,J09
108,J10
106,J10_3
115,J11
110,J11_3
118,J12
124,J14
125,J15
128,J15_3
126,J16
132,J16_3
127,J17
134,J18_1
145,J18_3
137,J19
80,J1_3
138,J20
159,J20_3
142,J21
143,J22
165,J22_3
144,J23
146,J24
167,J24_3
148,J25
149,J26
150,J27
151,J28
155,J29
174,J29_3
178,J30_3
169,J31
11,J34
86,J4
197,J40
200,J41
202,J43
205,J44
206,J45
4,J46
17,J52
19,J53
21,J54
25,J55
27,J56
29,J57
33,J59
84,J5_3
92,J6
35,J60
37,J61
39,J62
41,J63
47,J63
50,J65
56,J67
58,J68
97,J7
65,J71
68,J72
70,J72
75,J73
79,J73
95,J7_3
81,J_1
113,J_11
116,J_12
119,J_13
122,J_14
130,J_15
135,J_16
140,J_17
153,J_19
156,J_20
161,J_21
163,J_22
176,J_23
192,J_27
193,J_28
198,J_29
203,J_30
207,J_31
170,J_32
23,J_36
43,J_39
45,J_41
52,J_47
62,J_50
73,J_51
77,J_52
100,J_8
103,J_9
